產名,產期,產地,產季
文旦柚,8月，9月,新北：八里、雙溪，宜蘭：冬山，苗栗：西湖、三灣、頭份、通宵、頭屋，南投：東河，台南：麻豆、下營、官田，雲林：斗六，嘉義：竹崎，花蓮：瑞穗、玉里、鳳林、壽豐、富里,夏季
高接梨,5月，6月，7月，8月,新竹：芎林、尖石、五峰、新埔，苗栗：大湖、卓蘭、頭份、南庄、三灣，宜蘭：礁溪、員山、冬山、三星、蘇澳，花蓮：壽豐，台東：關山、卑南、鹿野，台中：東勢、新社、石岡、后里，嘉義：竹崎,夏季
洋香瓜,5月，6月，7月，8月，9月，10月，11月，12月,彰化：溪州，雲林：崙背，嘉義：義竹，台南：東山、後壁、鹽水、北門、白河、將軍、七股、西港、新市、佳里、安南、下營，高雄：燕巢、路竹、橋頭，屏東：屏東、東港,夏季
番石榴,1月，2月，3月，4月，5月，6月，7月，8月，9月，10月，11月，12月,宜蘭：員山，彰化：溪州、社頭、二水、員林，雲林：古坑，嘉義：中埔，台南：楠西、玉井、大內、南化、山上，高雄：燕巢、阿蓮、大社、旗山、美濃、岡山、甲仙，屏東：高樹,夏季
韭菜,1月，2月，3月，4月，5月，6月，7月，8月，9月，10月，11月，12月,新北：三峽、林口，宜蘭：員山，桃園：大溪、龍潭，台中：清水，彰化：二林、溪湖、埔鹽、埤頭、芳苑、竹塘、北斗、田尾、溪州、大城、埔心，高雄：美濃，屏東：萬丹，花蓮：吉安,夏季
蔥,1月，2月，3月，4月，5月，6月，7月，8月，9月，10月，11月，12月,宜蘭：三星、員山、壯圍，台中：大甲，彰化：芳苑、二林、埔鹽、溪湖、福興、大城，南投：仁愛，雲林：土庫、元長、麥寮、褒忠、崙背、東勢、虎尾、西螺、二崙,夏季
辣椒,1月，2月，3月，4月，5月，6月，7月，8月，9月，10月，11月，12月,台中：新社，雲林：林內，嘉義：鹿草、新港、朴子、六腳、義竹、溪口、布袋，台南：後壁、白河，高雄：美濃，屏東：鹽埔、高樹、萬丹、九如、恆春、新園，花蓮：壽豐，台東：關山,夏季
文心蘭,1月，2月，3月，4月，5月，6月，7月，8月，9月，10月，11月，12月,桃園：楊梅，台中：新社、后里、外埔、東勢、石岡、北屯，雲林：古坑、斗南、林內、大埤，嘉義：大林，台南：玉井，屏東：鹽埔、長治、內埔、里港、竹田、高樹、新碑,夏季
荷花,6月，7月，8月,新北市：三芝，桃園：觀音、新屋，台南：白河，宜蘭：羅東,夏季
落花生,6月，7月，11月，12月,台中：沙鹿、清水，彰化：芳苑、大城、二林，雲林：元長、土庫、東勢、水林、虎尾、麥寮、北港、褒忠、崙背、四湖、臺西，嘉義：溪口，台南：善化，高雄：大寮，屏東：新園,夏季
西瓜,3月，4月，5月，6月，7月，8月，9月，10月，11月,宜蘭：大同，桃園：觀音，苗栗：後龍，彰化：二林，雲林：二崙、崙背、西螺、麥寮、褒忠、四湖，嘉義：義竹，台南：麻豆、善化，高雄：路竹、阿蓮，花蓮：鳳林、壽豐、玉里、瑞穗,夏季
水蜜桃,5月，6月，7月,桃園：復興，新竹：尖石、五峰，苗栗：卓蘭、大湖、泰安，台中：和平、新社、東勢、石岡、豐原、外埔、后里，南投：仁愛、信義，嘉義：竹崎，高雄：桃源、那碼夏，花蓮：秀林，台東：延平,夏季
李,5月，6月，7月，8月,苗栗：泰安、大湖、獅潭、銅鑼、卓蘭、三義、公館，新竹：尖石，台中：和平、東勢、豐原、新社，南投：仁愛、信義，高雄：桃源、那瑪夏、六龜，台東：延平、卑南、池上、海瑞,夏季
山蘇,1月，2月，3月，4月，5月，6月，7月，8月，9月，10月，11月，12月,宜蘭：南澳，台中：外埔，南投：名間、魚池，雲林：莿桐，嘉義：中埔、民雄，台南：左鎮、柳營，屏東：獅子、牡丹、春日，花蓮：秀林、鳳林、萬榮、壽豐、光復、瑞穗、豐濱，台東：太麻里,夏季
玉米,1月，2月，3月，4月，5月，6月，7月，8月，9月，10月，11月，12月,彰化：芳苑，雲林：虎尾、元長、土庫、東勢、褒忠、莿桐、四湖、口湖、臺西、水林、林內，嘉義：六腳、太保、水上、新港，台南：安南、安定，高雄：大寮，花蓮：吉安,夏季
釋迦,1月，2月，3月，7月，8月，12月,臺東：卑南、太麻里、東河、金峰、鹿野、大武，高雄：阿蓮、岡山，屏東,夏季
酪梨,6月，7月，8月，9月,南投：水里，嘉義：竹崎、中埔、番路，台南：大內、善化、玉井、山上、麻豆、佳里、楠西、官田，屏東：高樹、里港、九如，花蓮：鳳林，台東：臺東、卑南、太麻里、關山,夏季
荔枝,5月，6月，7月,台中：太平、霧峰、神岡、北屯，南投：南投、草屯、中寮，彰化：芬園、彰化、社頭，嘉義：竹崎、番路，台南：白河、東山、新化，高雄：大樹、旗山、杉林、內門，屏東：恆春,夏季
鳳梨,3月，4月，5月，6月，7月，8月,南投：名間、南投，彰化：芬園，雲林：古坑、林內，嘉義：民雄、大林，台南：關廟、歸仁、山上、新化，高雄：大樹，屏東：高樹、萬巒、內埔、枋寮、長治、新埤，花蓮：瑞穗，台東：鹿野,夏季
龍眼,7月，8月,台中：霧峰、太平，南投：中寮、南投，彰化：社頭、芬園、彰化，嘉義：竹崎、番路，台南：東山、楠西、南化、六甲、白河、柳營、左鎮，高雄：內門、田寮、燕巢、岡山,夏季
苦瓜,3月，4月，5月，6月，7月，8月，9月，10月,台中：新社、后里，南投：埔里，彰化：埔鹽、竹塘、二林、溪州，高雄：大樹、杉林、旗山，屏東：萬丹、里港、九如、高樹、南州、鹽埔、崁頂、萬巒、新園，花蓮：壽豐,夏季
百香果,6月，7月，8月，9月，10月，11月，12月,南投：埔里，台中：后里、外埔、新社，彰化：二林，雲林：古坑，苗栗：卓蘭，高雄：美濃，嘉義：番路，台中：東勢，嘉義：竹崎，南投：仁愛，台東：關山，高雄：六龜，嘉義：大林，南投：鹿谷，台南：柳營、東山，南投：水里，屏東：枋寮,夏季
南瓜,12月，1月，2月，3月，4月，5月，6月，7月,新北：淡水，南投：埔里，雲林：水林、口湖，嘉義：朴子、鹿草、六腳，台南：歸仁、安定，高雄：美濃、路竹、杉林，屏東：萬丹，花蓮：鳳林、吉安、光復、壽豐、秀林、卓溪，台東：成功,夏季
甘藷,1月，2月，3月，12月,苗栗：後龍，台中：沙鹿、清水，彰化：大城、福興、芳苑，雲林：水林、東勢、崙背、西螺、二崙、元長、口湖、土庫、四湖、虎尾，台南：新巿、新化、後壁，台東：蘭嶼,夏季
葡萄,1月，2月，5月，6月，7月，8月，9月，10月，11月，12月,苗栗、彰化、南投、台中,夏季
高粱,5月，6月，7月，8月，11月，12月,新北：淡水，宜蘭：大同，台中：大甲、大肚，雲林：斗南、土庫、元長，嘉義：朴子，台南：佳里，屏東：泰武、來義、霧台，花蓮：瑞穗，台東：卑南、太麻里，澎湖：七美，金門：金沙、金寧、烈嶼、金湖、金城,夏季
芒果,4月，5月，6月，7月，8月,台南市:楠西鄉，屏東縣，高雄市,夏季
麻竹筍,6月，7月，8月，9月,台南市:南化鄉，台中市市，雲林縣，南投縣，基隆市,夏季
絲瓜,3月，4月，5月，6月，7月，8月，9月，10月,南投：埔里、魚池、水里、國姓，彰化：溪湖，雲林：斗六、斗南，嘉義：中埔、水上，台南：東山、柳營、白河，高雄：旗山、大社、美濃，屏東：里港、九如、鹽埔、萬丹、新園,夏季
杏鮑菇,1月，2月，3月，4月，5月，6月，7月，8月，9月，10月，11月，12月,嘉義縣:東石鄉，台中市，彰化縣，南投縣,夏季
香蕉,1月，2月，3月，4月，5月，6月，7月，8月，9月，10月，11月，12月,南投：中寮、國姓、集集、水里，雲林：古坑，嘉義：竹崎、中埔、梅山、番路，高雄：旗山、美濃、內門，屏東：萬巒、高樹、內埔、里港、鹽埔、新埤、長治，花蓮：壽豐,夏季
檸檬,7月，8月，9月,台中：東勢，彰化：二水，嘉義：中埔，高雄：旗山、杉林、內門，屏東：鹽埔、高樹、九如、里港、長治、竹田、內埔、屏東、萬丹、潮州、萬巒、新埤，台東：臺東、太麻里,夏季
小白菜,冬季除北部略少外，整年都有生產,,夏季
長豇豆,4月到9月,屏東縣、雲林縣、高雄市、彰化縣等,夏季
茭白筍,原產期為四月至十月，近來已可整年生產。,新北：三芝、金山、淡水、石門、三峽、貢寮、雙溪，台北：北投、內湖，宜蘭：頭城、礁溪、員山、三星，桃園：龍潭、平鎮、中壢、新屋、大溪、八德、蘆竹，新竹：關西、竹北，台中：沙鹿、梧棲，南投：埔里、魚池,夏季
莧菜,一年四季都可以生長,新北：三峽、深坑、蘆洲、鶯歌、新莊，宜蘭：五結，桃園：八德、新屋、蘆竹、桃園、大溪、大園、中壢、觀音，雲林：西螺、二崙，台南：南區，高雄：梓官、大寮、路竹,夏季
青蒜,平地主產期為11月至翌年2月，另5月至10月在高冷地區也可生產,新北：三峽、林口、淡水，宜蘭：五結、壯圍、三星、宜蘭、大同、員山，苗栗：卓蘭，台中：和平，南投：仁愛，彰化：芳苑、和美，雲林：元長、二崙、崙背、西螺、虎尾，嘉義：六腳,夏季
段木香菇,1月，2月，3月，4月，5月，6月，7月，8月，9月，10月，11月，12月,新北：雙溪、三芝、新店、淡水、烏來，宜蘭：南澳、大同，桃園：復興，新竹：尖石、關西、五峰，苗栗：南庄，台中：和平，南投：信義、埔里、仁愛、竹山，高雄：六龜，屏東：牡丹，台東：金鋒,夏季
荖花,6月，7月，8月,彰化：埔心、芬園，南投：草屯、國姓、仁愛、南投、埔里、名間、中寮、集集，屏東：屏東、鹽埔、長治，花蓮：鳳林，台東：卑南、太麻里、臺東、東河、關山、延平,夏季
蕹菜,3月，4月，5月，6月，7月，8月，9月，10月，11月，12月,台北：北投、文山、士林，宜蘭：礁溪，桃園：八德、新屋、桃園、觀音、蘆竹，台中：大里、北屯，南投：名間，雲林：西螺、莿桐、二崙，嘉義：新港，台南：南區，高雄：梓官、彌陀，花蓮：吉安,夏季
梅,3月，4月，5月,台中：和平，南投：信義、仁愛、水里、國姓、中寮，嘉義：番路，台南：楠西，高雄：桃源、六龜、那瑪夏、甲仙，花蓮：富里，台東：池上、東河、海瑞、延平、卑南、關山、金峰,夏季
香水檸檬,11月，12月，1月，2月，3月,花蓮：壽豐，台中：東勢，台東：關山，彰化：田尾,夏季
波羅蜜,3月，4月，5月，6月，7月，8月，9月，10月，11月,花蓮：瑞穗，台東：大武、東河、太麻里，雲林：林內,夏季
萵苣,1月，2月，3月，4月，5月，6月，7月，8月，9月，10月，11月，12月,新北：林口、新莊，台北：士林，桃園：八德、桃園、大溪，南投：仁愛，雲林：西螺、二崙、崙背、麥寮、莿桐、虎尾、褒忠、東勢，彰化：二林、埤頭、芳苑，台南：南區，高雄：梓官,夏季
綠竹筍,5月，6月，7月，8月，9月,新北市：五股、八里、三峽、平溪、新店、深坑、烏來，桃園：大溪、復興、龍潭、龜山，新竹：寶山，苗栗：三灣、銅鑼，宜蘭：員山、冬山，花蓮：花蓮市,夏季
金針,4月，5月，6月，8月，9月， 10月,新北：淡水、三峽，苗栗：三灣，南投：魚池、仁愛，高雄：六龜、桃源，雲林：褒忠，花蓮：玉里、富里、光復、瑞穗、萬榮、豐濱、鳳林、卓溪，台東：金鋒、成功、池上、太麻里,夏季
龍鬚菜,4月，5月，6月，7月，8月，9月，10月,苗栗：卓蘭、三灣，台中：新社、北屯、石岡，南投：魚池、信義、水里、埔里、仁愛、竹山，嘉義：竹崎、番路，高雄：那瑪夏、六龜、桃源、甲仙，屏東：屏東、霧台、來義，花蓮：吉安,夏季
芥菜,1月，2月，3月，4月，5月，6月，7月，8月，9月，10月，11月，12月,嘉義縣、雲林縣、彰化縣等,夏季
山苦瓜,4月，5月，6月，7月，8月，9月,桃園：新屋，新竹：尖石、五峰、峨嵋，花蓮：吉安、秀林、新城、壽豐，台中：后里,夏季
紫心甘薯,1月，2月，3月，4月，5月，6月，7月，8月，9月，10月，11月，12月,花蓮：新城，彰化：大城,夏季
國蘭,1月，2月，3月，4月，5月，6月，7月，8月，9月，10月，11月，12月,花蓮：吉安、壽豐、光復，南投：魚池,夏季
玫瑰,1月，2月，3月，4月，5月，6月，7月，8月，9月，10月，11月，12月,苗栗：頭屋，台中：新社、北屯、豐原、西屯，南投：埔里、仁愛、草屯、信義、集集、名間、國姓、鹿谷，彰化：永靖、二林、田尾，高雄：六龜，屏東：九如，花蓮：壽豐，台東：東河,夏季
茶葉,3月，4月，5月，6月，9月，10月，11月，12月,新北：坪林、石碇、三峽，桃園：龍潭，新竹：關西，台中：和平，南投：名間、竹山、鹿谷、仁愛、魚池、南投、信義，雲林：古坑，嘉義：梅山、阿里山、竹崎、番路，屏東：內埔，台東：鹿野,夏季
茂谷柑,1月，2月,宜蘭：三星、員山，新竹：關西、橫山、芎林、新埔，苗栗：卓蘭、大湖，台中：東勢、石岡、新社，雲林：古坑、斗六、斗南，嘉義：大竹、番路、竹崎，南投：竹山，台南：東山，台東：東河,夏季
愛玉子,10月，11月,南投：信義、仁愛、國姓、水里，雲林：古坑，嘉義：阿里山、番路、梅山、中埔、竹崎，高雄：桃源、那瑪夏，屏東：霧台，花蓮：富里、萬榮，台東：海端、金峰、卑南、鹿野,夏季
華盛頓臍橙,9月，10月，11月,台東：成功、東河，南投：水里，台中：東勢，,夏季
橄欖,10月,苗栗：獅潭、頭份、頭屋、大湖、造橋，台中：新社，南投：國姓、鹿谷、太平，嘉義：番路、東區，高雄：內門，花蓮：富里，台東：達仁、卑南、新化、延平、大武、太麻里、關山,夏季
明尼桔柚,1月，2月,台東：長濱、東河、成功，雲林：古坑，,夏季
鳳梨釋迦,1月，2月，3月，7月，8月,台中：和平、霧峰、東勢，南投：國姓、水里，花蓮：壽豐、瑞穗、玉里，屏東：枋寮，台東：卑南、東河、臺東、太麻里、關山、大武、延平、成功、海瑞、金峰、六甲,夏季
晚崙西亞,2月，3月，4月,花蓮：光復、瑞穗、富里、豐濱，台東：東河、成功、卑南、海端,夏季
生薑,5月，6月，7月，8月，9月，10月,宜蘭：大同，新竹：尖石，苗栗：泰安、大湖，台中：沙鹿、清水，南投：仁愛、名間、中寮、南投、埔里、國姓，雲林：古坑，嘉義：番路，花蓮：卓溪、萬榮，台東：金峰、太麻里、卑南、鹿野,夏季
稻米,一期稻：4月，5月，6月，7月二期稻：8月，9月，10月，11月，12月,桃園：八德、龍潭、新屋、楊梅，新竹：，苗栗：三灣、後龍、竹南、通宵、苑裡，宜蘭：羅東、頭城、五結、三星、礁溪、員山、冬山，花蓮：花蓮市、鳳林、玉里、新城、吉安、萬榮、卓溪、光復、富里，台東：台東市、關山、長演、鹿野、池上，台南：後壁，高雄：大寮、美濃，屏東：新園、東港，台南：下營、白河,夏季
小米,5月，6月，7月，8月，12月,屏東縣，台東縣,夏季
洋桔梗,1月，2月，3月，4月5月，6月，7月，8月，9月，10月，11月，12月,台中：北屯，彰化：溪州鄉、永靖、北斗、田尾、溪湖、埔心，雲林：虎尾、斗南、土庫，嘉義：新港、六腳、西區，台南：將軍、七股、麻豆、佳里、鹽水、安定，屏東：鹽埔,夏季
樹豆,12月，1月，2月，3月,新竹：尖石，花蓮，台東,夏季
金花石蒜,8月，9月，10月.,新北市：淡水，苗栗：南庄、公館,夏季
孟宗筍,11月，12月，1月，2月,新北市：三峽，南投：竹山、鹿谷，嘉義,夏季
冬梨,8月，9月,新竹：橫山、寶山、新埔，苗栗：三灣,夏季
杭菊,2月，3月，4月,新竹：新埔，苗栗：銅鑼、西湖、公館、大湖、後龍、三義，台南：永康，高雄：橋頭，屏東：牡丹，台東：臺東、卑南、太麻里，花蓮：玉里,夏季
小蒼蘭,2月，3月，4月,桃園,夏季
仙草,9月，10月,苗栗：大湖、獅潭、南庄，台南：新化,夏季
扁蒲,5月，6月，7月，8月，9月，10月,新北：淡水，彰化：竹塘、溪州、二水、埤頭，雲林：莿桐、西螺、崙背、林內、虎尾、土庫，嘉義：新港、鹿草、溪口、水上、太保、朴子、民雄、六腳、義竹,夏季
一葉蘭,3月，4月，5月,台北市，新北市，新竹，苗栗：南庄，宜蘭，南投：梅峰，嘉義,夏季
大菁,5月，10月,新北市：石碇，基隆：暖暖,夏季
佛手瓜,1月，2月，3月，4月，9月，10月，11月，12月,新北：中和、石門、三峽、土城、鶯歌、八里、永和，台北：北投，新竹：湖口，苗栗：獅潭，台中：和平，南投：名間，彰化：田尾，雲林：斗六，嘉義：番路、中埔、竹崎、義竹、水上，花蓮：壽豐,夏季
百合,1月，2月，3月，4月，5月，6月，7月，8月，9月，10月，11月，12月,桃園：大園、蘆竹，苗栗：三義、泰安，台中：后里、新社、神岡、外埔、大雅、石岡、烏日、大甲，南投：仁愛、魚池，彰化：田中、北斗、埤頭、田尾，嘉義：阿里山，台南：善化,夏季
山櫻花,1月，2月，3月，4月,新北市：三芝，桃園，新竹，台中，南投，嘉義，台東,夏季
秀珍菇,1月，2月，3月，4月，5月，6月，7月，8月，9月，10月，11月，12月,新北市：平溪，新竹：橫山、復興，苗栗：苗栗市、三義、南庄，南投：魚池、埔里，台中：新社，,夏季
桂竹筍,4月，5月,新北市：平溪、烏來、金山、三峽，桃園：復興，新竹：北埔、尖石、芎林，苗栗：南庄、泰安、大湖、獅潭、銅鑼,夏季
小麥,4月，5月,新竹：湖口，苗栗：苑裡，台中：大雅、外埔、西屯，彰化：大城、福興、芳苑、鹿港、二林，雲林：麥寮，嘉義：東石，台南：學甲、鹽水，花蓮：玉里，金門：金沙、金寧、烈嶼、金城、金湖,夏季
仙蜜果,5月，6月，7月，8月，9月，10月，11月，12月,桃園：新屋，新竹：橫山，苗栗：三灣、泰安，宜蘭：羅東，花蓮：玉里、壽豐，台東：成功、長演,夏季
闊葉大豆,1月，2月，3月，4月，5月，6月，7月，8月，9月，10月，11月，12月,金門:烈嶼鄉、金寧鄉、金城鎮、金湖鎮、金沙鎮,夏季
麥蔥,2月，3月，4月，5月，6月,連江縣：馬祖,夏季
蓮子、蓮藕,6月，9月,新北：淡水、三芝，台北：北投，桃園：蘆竹、觀音、大園、新屋，苗栗：苗栗、銅鑼，嘉義：民雄、新港、水上、中埔，台南：白河、後壁、官田、六甲、柳營高雄：仁武，花蓮：吉安,夏季
狼尾草,1月，12月,台南市:柳營鄉,夏季
胡蘿蔔,1月，2月，3月，4月，10月，11月,台北：北投，彰化：芳苑、二林、大城、埤頭、福興，雲林：四湖、東勢、元長、麥寮、北港、臺西、土庫，台南：將軍、西港、佳里、麻豆、安定、七股，澎湖：湖西,夏季
牛蒡,2月，3月，4月,雲林：四湖、麥寮、臺西，雲林：褒忠、水林、東勢，嘉義：六腳，台南：佳里、七股、將軍，屏東：屏東,夏季
蔥頭,1月，2月,彰化：伸港，雲林：水林、北港、四湖、東勢、虎尾、元長，嘉義：義竹，台南：七股、安南、北門、學甲、佳里、安定、將軍、西港、善化，高雄：美濃、仁武、大寮,夏季
椪柑,1月，10月，11月，12月,新竹：新埔、寶山、峨眉，苗栗：卓蘭、大湖、公館，台中：東勢、北屯、豐原、石岡、新社、后里、潭子，雲林：古坑，嘉義：梅山、竹崎、番路、大林，台南：東山、白河,夏季
金甘蕃茄,11，12月，1月，2月，3月,台南市:永康市,夏季
胡麻,6月，7月，11月,台中市，彰化縣，台南市:安定鄉,夏季
硬質玉米,2月，3月，4月，5月，6月，7月，8月，9月,台南市:新營市,夏季
火鶴花,1月，2月，3月，4月，5月，6月，7月，8月，9月，10月，11月，12月,台中：后里，南投：埔里，彰化：二水，嘉義：竹崎、中埔，台南：六甲、柳營、下營、官田、山上、新化、玉井，高雄：內門、旗山、橋頭、杉林、美濃，屏東：新埤、萬巒、鹽埔,夏季
美濃瓜,1月，2月，3月，4月，5月，6月，7月，8月，9月，10月，11月，12月,嘉義縣:民雄鄉,夏季
甘薯葉,1月，2月，3月，4月，5月，6月，7月，8月，9月，10月，11月，12月,嘉義縣:新港鄉,夏季
高山茶,1月，2月，3月，4月，5月，6月，7月，8月，9月，10月，11月，12月,嘉義縣:竹崎鄉,夏季
橘子,11月，12月，1月,嘉義縣:梅山鄉,夏季
栗子,8月，9月，10月,新竹：關西，苗栗：三灣、南庄，台中：和平、石岡，南投：仁愛、魚池、國姓、竹山、中寮，彰化：員林，嘉義：中埔、竹崎、大埔、番路、梅山，花蓮：壽豐，台東：池上、東河,夏季
黑木耳,1月，2月，3月，4月，5月，6月，7月，8月，9月，10月，11月，12月,新北：平溪，新竹：關西，台中：霧峰、新社、石岡，南投：埔里、國姓、竹山、草屯、集集，彰化：埔心、芳苑，嘉義：中埔、番路、魚池、大林，台南：佳里、官田，屏東：內埔，花蓮：吉安,夏季
黃秋葵,1月，2月，3月，4月，5月，6月，7月，8月，9月，10月，11月，12月,嘉義縣:鹿草鄉,夏季
柳丁,11月，12月，1月,嘉義縣:大林鎮,夏季
山葵,1月，2月，3月，4月，5月，6月，7月，8月，9月，10月，11月，12月,桃園：復興，苗栗：南庄，彰化：花壇，嘉義：民雄，台南：後壁，花蓮：鳳林,夏季
梨子蒲,1月，2月，3月，4月，5月，6月，7月，8月，9月，10月，11月，12月,嘉義縣:溪口鄉,夏季
小蕃茄,12月，1月，2月，3月,嘉義縣:六腳鄉,夏季
彩椒,11月，12月，1月，2月，3月，4月,新竹：尖石，台中：新社，南投：信義、仁愛、埔里、竹山，彰化：北斗，雲林：莿桐、西螺、崙背、虎尾、林內、二崙，嘉義：新港、溪口、六腳、水上，高雄：路竹、美濃，屏東：里港,夏季
有機米,1月，2月，3月，4月，5月，6月，7月，8月，9月，10月，11月，12月,嘉義縣:太保鄉,夏季
香水蓮花,6月，7月，8月，9月,嘉義縣:水上鄉,夏季
有機紅薏仁,1月，2月，3月，4月，5月，6月，7月，8月，9月，10月，11月，12月,嘉義縣:朴子市,夏季
越瓜,6月，7月，8月,新竹：香山，彰化：芳苑、埔鹽、竹塘、田中，雲林：虎尾、元長、莿桐，嘉義：布袋、東石、朴子、鹿草、新港、太保，高雄：大寮，屏東：潮州、新園、新埤，澎湖：望安、馬公,夏季
桑椹,4，5月，6月,新北：淡水，宜蘭：冬山、員山，苗栗：造橋、獅潭、公館，台中：大肚，南投：鹿谷，彰化：埤頭，台南：仁德、柳營、鹽水、善化，屏東：新園、內埔，花蓮：壽豐、秀林、富里，台東：長濱,夏季
金煌芒果,5月，6月，7，8月,高雄市:六龜鄉，台南市，屏東縣,夏季
美濃米,1月，2月，3月，4月，5月，6月，7月，8月，9月，10月，11月，12月,高雄市:美濃鎮,夏季
改良種芒果,5月，6月，7月,屏東縣:枋寮鄉,夏季
本地種芒果,3月，4月,屏東縣:鹽埔鄉,夏季
可可椰子,3月，4月，5月，6月，7月,台南：安南，高雄：旗山、杉林、美濃，屏東：長治、鹽埔、恆春、滿州、麟洛、屏東、高樹、九如、新埤，台東：東河、成功、卑南、太麻里、臺東、大武、長濱,夏季
胡瓜,1月，2月，3月，4月，8月，9月，10月，11月,苗栗：大湖，南投：埔里、水里，彰化：大城、溪州、永靖，雲林：莿桐、西螺，嘉義：六腳、水上，高雄：美濃，屏東：里港、九如、高樹、鹽埔、萬丹、路竹、旗山、杉林、萬巒,夏季
玉荷包,5月，6月,屏東縣:恆春鎮,夏季
金銀花,2月，3月，4月，5月,連江縣：馬祖,夏季
黃藤心,1月，2月，3月，4月，5月，6月，7月，8月，9月，10月，11月，12月,花蓮：光復、豐濱，新北市：三芝,夏季
文旦柚,8月，9月,新北：八里、雙溪，宜蘭：冬山，苗栗：西湖、三灣、頭份、通宵、頭屋，南投：東河，台南：麻豆、下營、官田，雲林：斗六，嘉義：竹崎，花蓮：瑞穗、玉里、鳳林、壽豐、富里,秋季
番石榴,1月，2月，3月，4月，5月，6月，7月，8月，9月，10月，11月，12月,宜蘭：員山，彰化：溪州、社頭、二水、員林，雲林：古坑，嘉義：中埔，台南：楠西、玉井、大內、南化、山上，高雄：燕巢、阿蓮、大社、旗山、美濃、岡山、甲仙，屏東：高樹,秋季
韭菜,1月，2月，3月，4月，5月，6月，7月，8月，9月，10月，11月，12月,新北：三峽、林口，宜蘭：員山，桃園：大溪、龍潭，台中：清水，彰化：二林、溪湖、埔鹽、埤頭、芳苑、竹塘、北斗、田尾、溪州、大城、埔心，高雄：美濃，屏東：萬丹，花蓮：吉安,秋季
蔥,1月，2月，3月，4月，5月，6月，7月，8月，9月，10月，11月，12月,宜蘭：三星、員山、壯圍，台中：大甲，彰化：芳苑、二林、埔鹽、溪湖、福興、大城，南投：仁愛，雲林：土庫、元長、麥寮、褒忠、崙背、東勢、虎尾、西螺、二崙,秋季
辣椒,1月，2月，3月，4月，5月，6月，7月，8月，9月，10月，11月，12月,台中：新社，雲林：林內，嘉義：鹿草、新港、朴子、六腳、義竹、溪口、布袋，台南：後壁、白河，高雄：美濃，屏東：鹽埔、高樹、萬丹、九如、恆春、新園，花蓮：壽豐，台東：關山,秋季
文心蘭,1月，2月，3月，4月，5月，6月，7月，8月，9月，10月，11月，12月,桃園：楊梅，台中：新社、后里、外埔、東勢、石岡、北屯，雲林：古坑、斗南、林內、大埤，嘉義：大林，台南：玉井，屏東：鹽埔、長治、內埔、里港、竹田、高樹、新碑,秋季
